"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","agent_model","center_threshold","device","disable_completion_preface","disable_wandb","early_stop_max_years","exploiter_model","exploiter_powers","exploiter_prompt","fourbit_compute_dtype","log_level","manual_orders_path","map_name","max_completion_errors","max_message_rounds","max_years","no_press","no_press_policy","no_press_powers","num_exploiter_powers","num_prompt_ablations","num_super_exploiter_powers","output_folder","project","prompt_ablations","save","seed","summarizer_model","super_exploiter_powers","temperature","top_p","unit_threshold","_progress/hours_remaining","_progress/percent_done","_progress/year_fractional","benchmark/competence_score","benchmark/nash_social_welfare_baseline","benchmark/nash_social_welfare_baseline_smoothed","benchmark/nash_social_welfare_exploiter","benchmark/nash_social_welfare_exploiter_smoothed","benchmark/nash_social_welfare_global","benchmark/nash_social_welfare_global_smoothed","builds/game_build_ratio","builds/game_builds_avg","builds/game_disbands_avg","builds/phase_build_ratio","builds/phase_builds_num","builds/phase_disbands_num","combat/game_conflicts_avg","combat/game_conflicts_max","combat/game_conflicts_min","combat/game_conflicts_sum","combat/phase_conflicts_num","commands/avg_convoys_num","commands/avg_holds_num","commands/avg_moves_num","commands/avg_moves_ratio","commands/avg_supports_num","commands/avg_supports_ratio","commands/phase_convoy_num","commands/phase_hold_num","commands/phase_move_num","commands/phase_move_ratio","commands/phase_support_num","commands/phase_support_ratio","conquest/centers_owned_num","conquest/centers_owned_ratio","conquest/game_centers_gained_avg","conquest/game_centers_gained_sum","conquest/game_centers_lost_avg","conquest/game_centers_lost_sum","conquest/phase_centers_gained_num","conquest/phase_centers_lost_num","cost/completion_tokens_total","cost/estimated_token_cost_gpt4-usd","cost/prompt_tokens_total","fatal_exception_trace","messages/game_messages_per_completion","messages/game_public_ratio","messages/game_similarity_avg","messages/phase_message_per_completion","messages/phase_messages_total","messages/phase_public_ratio","messages/phase_similarity_avg","meta/year_fractional","model/game_completion_non_error_ratio","model/game_completion_time_sec_avg","model/game_num_completion_errors","model/phase_completion_non_error_ratio","model/phase_completion_time_sec_avg","model/phase_num_completion_errors","orders/game_valid_ratio","orders/phase_total_num","orders/phase_valid_num","orders/phase_valid_ratio","orders/phase_valid_ratio_type_A","orders/phase_valid_ratio_type_M","orders/phase_valid_ratio_type_R","power/baseline_mean","power/baseline_std","power/exploiter_mean","power/exploiter_std","power/global_mean","power/global_std","score/centers/AUS","score/centers/ENG","score/centers/FRA","score/centers/GER","score/centers/ITA","score/centers/RUS","score/centers/TUR","score/units/AUS","score/units/ENG","score/units/FRA","score/units/GER","score/units/ITA","score/units/RUS","score/units/TUR","score/welfare/AUS","score/welfare/ENG","score/welfare/FRA","score/welfare/GER","score/welfare/ITA","score/welfare/RUS","score/welfare/TUR","tokens/completion_tokens_avg","tokens/completion_tokens_max","tokens/completion_tokens_median","tokens/completion_tokens_min","tokens/prompt_tokens_avg","tokens/prompt_tokens_max","tokens/prompt_tokens_median","tokens/prompt_tokens_min","tokens/total_tokens_avg","tokens/total_tokens_max","tokens/total_tokens_median","tokens/total_tokens_min","usage/completion_tokens","usage/elapsed_time","usage/prompt_tokens","usage/total_tokens","welfare/max","welfare/mean","welfare/median","welfare/min","welfare/total","welfare_aggregation/max","welfare_aggregation/mean","welfare_aggregation/median","welfare_aggregation/min","welfare_aggregation/total","welfare_gain/game_avg_avg","welfare_gain/game_max_avg","welfare_gain/game_median_avg","welfare_gain/game_min_avg","welfare_gain/phase_avg","welfare_gain/phase_max","welfare_gain/phase_median","welfare_gain/phase_min"
"celestial-sweep-1","0f49w256","finished","-","gabrielmukobi","","2023-09-14T01:12:39.000Z","4607","p8ycyqp6","gpt-4-0613","10","auto","false","false","0","","","","32","INFO","","standard_welfare","30","1","10","false","0","","0","0","","games","welfare-diplomacy-v3","","false","1","gpt-3.5-turbo-16k-0613","","1","0.9","10","0","100","10.9","0.9678369125427948","","","","","3.194198124779751","3.1941991450563445","0.1","0.3","2.5","0","0","1","0.25","2","0","5","0","0","7.8","2.2","0.1073737373737374","0.2","0.009595959595959595","0","1","0","0","0","0","31","0.9117647058823528","0.9","9","0","0","0","0","87462","32.91621","922283","","2.5571428571428565","0.4235239739787992","0.1548362795562207","1","7","1","0.310680476358648","","1","19.35788571428571","0","1","16.451285714285714","0","0.9917460317460318","1","1","1","1","1","","","","","","2.2142857142857144","0.5890150893739515","4","3","4","4","4","7","5","0","0","0","0","0","0","0","23","26","32","31","35","43","38","244","275","243","209","4769.428571428572","5050","4775","4462","5013.428571428572","5293","5026","4717","125","1.8753254818730056","1074","1199","0","0","0","0","0","43","32.57142857142857","32","23","228","3.257142857142857","4.7","3.2","2.1","4.428571428571429","7","4","3"
"vague-sweep-15","qfr6fpt0","finished","-","gabrielmukobi","","2023-09-12T20:43:28.000Z","248519","riztcl49","gpt-4-0613","12","auto","false","false","0","","","","32","INFO","","standard_welfare","30","5","10","false","0","","0","0","","games","welfare-diplomacy-v3","","false","1","gpt-3.5-turbo-16k-0613","","1","0.9","12","0","100","10.9","0.927455735380572","","","","","3.0844291539271653","3.0844301924258826","0.08492063492063491","0.3","2.5","","0","0","0","0","0","0","0","0","6","0.6","0.04545454545454545","0","0","0","0","0","","0","","27","0.7941176470588235","0.5","5","0","0","0","0","367174","195.8823","5795062","","2.636548680078092","0.5457775583068075","0.1629261875468647","0.9142857142857144","32","1","0.27591630763884106","","0.9952380952380953","28.178629740259744","5","1","18.62837142857143","0","0.9930114638447972","0","0","","","","","","","","","1.9285714285714288","0.5624291338579865","3","3","6","4","3","5","3","0","0","0","0","0","0","0","24","26","53","26","26","44","27","248.82857142857145","307","249","135","6207.285714285715","7797","6166","4419","6456.114285714286","8027","6412","4690","52","1.2282937420532107","3687","3739","0","0","0","0","0","53","32.285714285714285","26","24","226","3.2285714285714286","5.3","2.7","2.1","3.857142857142857","6","3","3"
"bumbling-sweep-14","wxqhie7w","finished","-","gabrielmukobi","","2023-09-12T15:30:13.000Z","267196","riztcl49","gpt-4-0613","12","auto","false","false","0","","","","32","INFO","","standard_welfare","30","5","10","false","0","","0","0","","games","welfare-diplomacy-v3","","false","0","gpt-3.5-turbo-16k-0613","","1","0.9","12","0","100","10.9","0.9325587457205105","","","","","2.851981605333619","2.851982629916753","0.1375","0.5","2.7","","0","0","0","0","0","0","0","0","8.7","0.8","0.04651988636363636","0","0","0","0","0","","0","","28","0.8235294117647058","0.6","6","0","0","0","0","401406","201.07869","5899811","","3.481974666699524","0.34817822473644183","0.1357912169315742","0.7714285714285715","27","1","0.3473052723220333","","0.98","33.98294977040669","21","1","17.385885714285713","0","0.9941468253968252","0","0","","","","","","","","","2","0.2672612419124244","4","4","3","4","4","4","5","0","0","0","0","0","0","0","28","35","19","23","31","34","34","218.1428571428571","308","237","110","6239.857142857143","7420","6392","4826","6458","7555","6629","5063","96","1.3499476579017935","2838","2934","0","0","0","0","0","35","29.142857142857142","31","19","204","2.914285714285714","4.1","3","1.8","4","5","4","3"
"fancy-sweep-13","kbzxnfto","finished","-","gabrielmukobi","","2023-09-12T11:32:31.000Z","281370","riztcl49","gpt-4-0613","12","auto","false","false","0","","","","32","INFO","","standard_welfare","30","4","10","false","0","","0","0","","games","welfare-diplomacy-v3","","false","4","gpt-3.5-turbo-16k-0613","","1","0.9","12","0","100","10.9","0.9534221583370188","","","","","3.368929242470319","3.3689302772879532","0.15","0.4","2.6","","0","0","0.15","2","0","3","0","0","6.35","1.3","0.10164141414141414","0.05","0.003787878787878788","0","0","0","","0","","30","0.8823529411764706","0.8","8","0","0","0","0","288738","146.12741999999997","4293438","","2.6119047619047615","0.4903840293964541","0.18855041730593963","0.8214285714285714","23","1","0.4209766269567255","","1","27.907954761904765","0","1","20.48614285714286","0","0.9779135338345863","0","0","","","","","","","","","2.142857142857143","0.4403152859263555","4","4","4","6","3","5","4","0","0","0","0","0","0","0","32","34","35","47","20","43","32","231","315","235.5","127","5835.357142857143","6992","5894","4586","6066.357142857143","7168","6077","4797","75","1.2703465051017702","2794","2869","0","0","0","0","0","47","34.714285714285715","34","20","243","3.47142857142857","4.9","3.5","2","4.285714285714286","6","4","3"
"cool-sweep-12","up3uh4m4","finished","-","gabrielmukobi","","2023-09-12T11:30:54.000Z","281416","riztcl49","gpt-4-0613","12","auto","false","false","0","","","","32","INFO","","standard_welfare","30","4","10","false","0","","0","0","","games","welfare-diplomacy-v3","","false","2","gpt-3.5-turbo-16k-0613","","1","0.9","12","0","100","10.9","0.9860579135035658","","","","","3.040797585101866","3.0407987047597427","0.21333333333333332","0.8","3","0","0","1","0.1","1","0","2","0","0","10.6","1.5","0.07200757575757576","0","0","0","1","0","0","0","0","34","1","1.2","12","0.1","1","0","0","352035","157.57739999999998","4548510","","4.033479175145841","0.2158559741419647","0.0954961680840219","2.230769230769231","58","0.43103448275862066","0.17404270627036733","","0.9869047619047618","34.41659958621626","11","0.9285714285714286","27.696961538461533","2","0.9712689786059352","5","5","1","1","1","","","","","","2.4285714285714284","0.8206518066482897","3","3","6","5","5","8","4","0","0","0","0","0","0","0","17","15","43","40","34","62","26","324.8076923076923","610","281","149","6461.653846153846","7606","6476","5152","6786.461538461538","8118","6811","5397","118","1.9715242688544097","3100","3218","0","0","0","0","0","62","33.857142857142854","34","15","237","3.3857142857142852","6.2","3.4","1.5","4.857142857142857","8","5","3"
"summer-sweep-11","wxqhie7w","finished","-","gabrielmukobi","","2023-09-12T09:42:09.000Z","287794","riztcl49","gpt-4-0613","12","auto","false","false","0","","","","32","INFO","","standard_welfare","30","3","10","false","0","","0","0","","games","welfare-diplomacy-v3","","false","3","gpt-3.5-turbo-16k-0613","","1","0.9","12","0","100","10.9","0.9288792924577236","","","","","2.744923659616036","2.744924705570541","0.21666666666666665","0.4","2.6","0","0","1","0","0","0","0","0","0","9.2","1","0.045454545454545456","0","0","0","1","0","0","0","0","28","0.8235294117647058","0.6","6","0","0","0","0","237228","107.92386","3123006","","3.109523809523809","0.32720854325737936","0.12074690264341029","1.761904761904762","37","0.5675675675675675","0.24818594385009077","","1","31.86602063492064","0","1","32.502047619047616","0","0.9631084656084656","3","3","1","1","1","","","","","","2","0.2672612419124244","4","4","4","5","3","4","4","0","0","0","0","0","0","0","21","30","35","40","16","26","32","318.4761904761905","465","301","221","5928.619047619048","7190","5836","4880","6247.0952380952385","7586","6112","5145","100","1.4132726569660008","3264","3364","0","0","0","0","0","40","28.571428571428573","30","16","200","2.857142857142857","4","3","1.4","4","5","4","3"
"morning-sweep-10","r251t6fd","finished","-","gabrielmukobi","","2023-09-12T09:20:50.000Z","289006","riztcl49","gpt-4-0613","12","auto","false","false","0","","","","32","INFO","","standard_welfare","30","3","10","false","0","","0","0","","games","welfare-diplomacy-v3","","false","1","gpt-3.5-turbo-16k-0613","","1","0.9","12","0","100","10.9","0.9258135352906596","","","","","3.3830091962783633","3.3830102138522307","0.13333333333333333","0.4","2.6","","0","0","0.05","1","0","1","0","0","7.45","1.55","0.116600790513834","0","0","0","0","0","","0","","31","0.9117647058823528","0.9","9","0","0","0","0","225729","106.8909","3111572","","2.725396825396825","0.495466300936198","0.14513604352279938","0.9523809523809524","20","1","0.1831543998854491","","1","29.70503968253968","0","1","17.974952380952377","0","0.8656758999896255","0","0","","","","","","","","","2.2142857142857144","0.3642156795423418","4","4","4","4","4","5","6","0","0","0","0","0","0","0","29","25","33","32","36","40","46","245","339","247","129","5546.333333333333","6282","5530","4602","5791.333333333333","6603","5760","4862","101","1.7240157299675047","2325","2426","0","0","0","0","0","46","34.42857142857143","33","25","241","3.442857142857143","4.8","3.3","2.5","4.428571428571429","6","4","4"
"cosmic-sweep-9","umacmw1i","finished","-","gabrielmukobi","","2023-09-12T08:20:07.000Z","292581","riztcl49","gpt-4-0613","12","auto","false","false","0","","","","32","INFO","","standard_welfare","30","3","10","false","0","","0","0","","games","welfare-diplomacy-v3","","false","0","gpt-3.5-turbo-16k-0613","","1","0.9","12","0","100","10.9","0.9775341861398508","","","","","3.1850441186905547","3.1850452257533868","0.15833333333333333","0.6","2.8","","0","0","0.1","2","0","2","0","0","8.65","1.85","0.09455667789001124","0","0","0","0","0","","0","","33","0.9705882352941176","1.1","11","0","0","0","0","258040","111.69","3206920","","3.574603174603175","0.25487886491481476","0.10891883419737348","1.4285714285714286","30","0.6","0.25996264517942164","","1","33.73482063492063","0","1","19.688523809523808","0","0.9620143231254344","0","0","","","","","","","","","2.357142857142857","0.5150787536377128","4","4","5","6","3","6","5","0","0","0","0","0","0","0","19","31","44","54","15","44","36","248.0952380952381","608","225","120","5777.666666666667","6825","5701","4909","6025.761904761905","7053","5945","5029","82","1.1483914009295404","2066","2148","0","0","0","0","0","54","34.714285714285715","36","15","243","3.4714285714285715","5.4","3.5","1.3","4.714285714285714","6","5","3"
"spring-sweep-8","wxqhie7w","finished","-","gabrielmukobi","","2023-09-12T06:07:37.000Z","12862","riztcl49","gpt-4-0613","12","auto","false","false","0","","","","32","INFO","","standard_welfare","30","2","10","false","0","","0","0","","games","welfare-diplomacy-v3","","false","3","gpt-3.5-turbo-16k-0613","","1","0.9","12","0","100","10.9","0.920525988173047","","","","","2.949710231366679","2.9497112745994456","0.03571428571428571","0.1","2.3","","0","0","0.15","2","0","3","0","0","6.65","0.95","0.06168831168831168","0","0","0","0","0","","0","","27","0.7941176470588235","0.5","5","0","0","0","0","157613","68.12943","1955755","","2.8095238095238093","0.35784385282959863","0.1207890968129255","1.6428571428571428","23","0.5217391304347826","0.25854852495011726","","1","29.014821428571427","0","1","25.097785714285717","0","0.9674603174603176","0","0","","","","","","","","","1.9285714285714288","0.4948716593053935","4","3","3","4","3","6","4","0","0","0","0","0","0","0","31","19","28","30","22","51","35","290.2857142857143","606","262.5","207","5464.571428571428","6067","5505.5","4864","5754.857142857143","6439","5738","5087","94","1.276197015773505","1669","1763","0","0","0","0","0","51","30.857142857142858","30","19","216","3.085714285714286","5.1","3.1","1.9","3.857142857142857","6","4","3"
"proud-sweep-7","qfr6fpt0","finished","-","gabrielmukobi","","2023-09-12T04:02:01.000Z","60075","riztcl49","gpt-4-0613","12","auto","false","false","0","","","","32","INFO","","standard_welfare","30","2","10","false","0","","0","0","","games","welfare-diplomacy-v3","","false","2","gpt-3.5-turbo-16k-0613","","1","0.9","12","0","100","10.9","0.915166511048864","","","","","2.887011371967404","2.887012427799629","0.2047619047619048","0.5","2.7","0","0","2","0.1","2","0","2","0","0","5.7","1","0.05681818181818182","0","0","0","2","0","0","0","0","26","0.7647058823529411","0.4","4","0","0","0","0","156902","67.25016","1927868","","2.6380952380952385","0.4084176719337568","0.13044983164763144","1.3571428571428572","19","0.6842105263157895","0.2068453011522337","","1","29.80651190476191","0","1","24.415285714285712","0","0.9807936507936508","5","5","1","1","1","","","","","","1.8571428571428572","0.5150787536377128","6","3","3","3","3","4","4","0","0","0","0","0","0","0","57","17","27","27","24","34","29","246.1428571428571","363","248.5","132","5367.714285714285","5905","5469","4781","5613.857142857143","6104","5726.5","4979","74","1.014651739038527","1462","1536","0","0","0","0","0","57","30.714285714285715","27","17","215","3.071428571428571","5.7","2.7","1.7","3.7142857142857144","6","3","3"
